keys,English,Bangala,Hindi,Kannada,Odia,Assamese,Gujarati,Marathi,Malayalam,punjabi,Tamil,Telugu
complaints,Complaints,অভিযোগ,शिकायतों,ದೂರರು,ଅଭିଯୋଗ,অভিযোগসমূহ,ફરિયાદ,तक्रारी,പരാതികൾ,ਸ਼ਿਕਾਇਤਾਂ,புகார்கள்,ఫిర్యాదులు
procced,Proceed,অগ্রসর,आगे बढ़ना,ಮುಂದುವರೆಯಲು,ଅଗ୍ରଗତି କର |,আগবাঢ়ক,આગળ વધધો,पुढे जा,മുന്നോട്ടുനീങ്ങുക,ਅੱਗੇ ਵਧੋ,தொடரவும்,కొనసాగండి
filters,Filters,ফিল্টার,फिल्टर,ಬೇರ್ಪಡಿಸು,ଫିଲ୍ଟର୍,ফিল্টাৰসমূহ,પસંદગીઓ,फिल्टर,ഫിൽട്ടറുകൾ,ਫਿਲਟਰ,வடிப்பான்கள்,ఫిల్టర్లు
sortBy,Sort By,ক্রমানুসার,इसके अनुसार क्रमबद्ध करें,ವಿಂಗಡಿಸು,ଦ୍ boot ାରା ସର୍ଟ କରନ୍ତୁ |,দ্বাৰা সজাওক,વર્ગીકૃત કરો,क्रमवारी लावा,ഇങ്ങനെ അടുക്കുക,ਦੇ ਨਾਲ ਕ੍ਰਮਬੱਧ,வரிசைப்படுத்தவும்,ఆమరిక
,,,,,,,,,,,,
ratings4+,Ratings 4+,রেটিং 4+,रेटिंग 4+,ಅಂಕ ಶ್ರೇಣಿ,ରେଟିଂ 4+,ৰেটিং 4+,ગુણાંકન 4+,रेटिंग 4+,റേറ്റിംഗുകൾ 4+,ਰੇਟਿੰਗ 4+,மதிப்பீடுகள் 4+,రేటింగ్స్ 4+
nearYou,Near you,আপনার কাছাকাছি,आप के पास,ನಿನ್ನ ಹತ್ತಿರ,ଆପଣଙ୍କ ନିକଟରେ,আপোনাৰ ওচৰত,તમારી નજીક,तुमच्या जवळ,നിങ്ങളുടെ സമീപം,ਤੁਹਾਡੇ ਨੇੜੇ,உன் அருகே,సమీపమందు
mobileNumber,Mobile Number,মোবাইল নম্বর,मोबाइल नंबर,ದೂರವಾಣಿ ಸಂಖ್ಯೆ,ମୋବାଇଲ୍ ନମ୍ବର,মোবাইল নম্বৰ,મોબાઇલ નંબર,मोबाईल नंबर,മൊബൈൽ നമ്പർ,ਮੋਬਾਇਲ ਨੰਬਰ,கைபேசி எண்,మొబైల్ సంఖ్య
otp,OTP,ওটিপি,ओटीपी,ಓಟಿಪಿ,Otp,অ'টিপি,ઓટીપી,ओटीपी,OTP,ਓਟੀਪੀ,OTP,Otp
,,,,,,,,,,,,
call,Call,কল,बुलाना,ಕರೆ ಮಾಡಿ,କଲ୍ କରନ୍ତୁ |,কল কৰা,ફોન,कॉल,വിളി,ਕਾਲ ਕਰੋ,அழைப்பு,కాల్
sms,SMS,খুদেবার্তা,एसएमएस,ಸಂದೇಶ,ଏସଏମଏସ,এছ এম এছ,મેસેજ,एसएमएस,എസ്എംഎസ്,ਐਸ ਐਮ ਐਸ,எஸ்.எம்.எஸ்,SMS
whatsApp,WhatsApp,হোয়াটসঅ্যাপ,WhatsApp,ವಾಟ್ಸಾಪ್,ହ୍ ats ାଟସ୍ ଆପ୍ |,হোৱাটছএপ,વોટ્‌સએપ,व्हाट्सएप,വാട്ട്സ്ആപ്പ്,ਵਟਸਐਪ,பகிரி,వాట్సాప్
orderAgain,Order Again,আবার অর্ডার,फिर से आदेश देना,ಮತ್ತೆ ಆದೇಶಿಸಿ,ପୁଣି ଅର୍ଡର କର,আকৌ অৰ্ডাৰ দিয়ক,ફરીથી ઓર્ડર,पुन्हा ऑर्डर करा,വീണ്ടും ഓർഡർ ചെയ്യുക,ਦੁਬਾਰਾ ਆਰਡਰ,மீண்டும் ஆர்டர் செய்யுங்கள்,మళ్ళీ ఆర్డర్ చేయండి
currentLocation,Current Location,এখন যেখানে আছ,वर्तमान स्थान,ಈಗಿನ ಸ್ಥಳ,ସାମ୍ପ୍ରତିକ ଅବସ୍ଥାନ |,বৰ্তমানৰ অৱস্থান,અત્યારની જ્ગ્યા,आत्ताचे ठिकाण,ഇപ്പോഴുള്ള സ്ഥലം,ਮੌਜੂਦਾ ਟਿਕਾਣਾ,தற்போதைய இடம்,ప్రస్తుత స్తలం
usingGps,Using GPS,জিপিএস ব্যবহার করে,जीपीएस का उपयोग करना,ಜಿಪಿಎಸ್ ಬಳಸುವುದು,ଜିପି ବ୍ୟବହାର କରିବା |,জিপিএছ ব্যৱহাৰ কৰি,જીપીએસનો ઉપયોગ કરીને,जीपीएस वापरून,ജിപിഎസ് ഉപയോഗിക്കുന്നു,ਜੀਪੀਐਸ ਦੀ ਵਰਤੋਂ ਕਰਨਾ,ஜி.பி.எஸ் பயன்படுத்துதல்,GPS ఉపయోగించి
frequentlyUsed,Frequently Used,ঘন ঘন ব্যবহৃত,बहुधा प्रयुक्त,ಆಗಾಗ್ಗೆ ಬಳಸಲಾಗುತ್ತದೆ,ବାରମ୍ବାର ବ୍ୟବହୃତ |,সঘনাই ব্যৱহাৰ কৰা হয়,વારંવાર વપરાય છે,वारंवार वापरलेले,പതിവായി ഉപയോഗിക്കുന്നു,ਅਕਸਰ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ,அடிக்கடி பயன்படுத்தப்படுகிறது,తరచుగా ఉపయోగిస్తారు
other,Other ,অন্য,अन्य,ಬೇರೆಯ,ଅନ୍ୟ,অন্যান্য,બીજું,इतर,മറ്റേതായ,ਹੋਰ,மற்றொன்று,ఇతర
work,Work ,কাজ,काम,ಕೆಲಸ,କାର୍ଯ୍ୟ,কাম,વ્યવસાય,काम,വേല,ਕੰਮ,வேலை,పని
home,Home ,বাড়ি,होम,ಮನೆ,ଘର,গৃহ,ઘર,मुख्यपृष्ठ,വീട്,ਘਰ,வீடு,హోమ్
recentSearch,Recent Search ,সাম্প্রতিক অনুসন্ধান,हाल ही में खोज,ಇತ್ತೀಚಿನ ಹುಡುಕಾಟ,ସାମ୍ପ୍ରତିକ ସନ୍ଧାନ |,শেহতীয়া সন্ধান,તાજેતરની શોધ,अलीकडील शोध,സമീപകാല തിരയൽ,ਤਾਜ਼ਾ ਖੋਜ,சமீபத்திய தேடல்,ఇటీవలి శోధన
selectLocation,Select Location,স্থান নির্বাচন করুন,स्थान चुनें,ಸ್ಥಳವನ್ನು ಆಯ್ಕೆಮಾಡಿ,ଅବସ୍ଥାନ ଚୟନ କରନ୍ତୁ |,অৱস্থান নিৰ্ব্বাচন কৰক,સ્થાન પસંદ કરો,स्थान निवडा,സ്ഥാനം തിരഞ്ഞെടുക്കുക,ਟਿਕਾਣਾ ਚੁਣੋ,இருப்பிடத்தைத் தேர்ந்தெடுக்கவும்,స్థానాన్ని ఎంచుకోండి
change,Change,পরিবর্তন,परिवर्तन,ಬದಲಾವಣೆ,ପରିବର୍ତ୍ତନ,সলা,પરિવર્તન,बदला,മാറ്റുക,ਬਦਲੋ,மாற்றம்,మార్పు
confirmLocation,Confirm Location,অবস্থান নিশ্চিত করুন,स्थान की पुष्टि करें,ಸ್ಥಳವನ್ನು ಧೃಡಪಡಿಸಿ,ଅବସ୍ଥାନ ନିଶ୍ଚିତ କରନ୍ତୁ |,অৱস্থান নিশ্চিত কৰক,સ્થાનની પુષ્ટિ,स्थान निश्चित करा,സ്ഥാനം സ്ഥിരീകരിക്കുക,ਸਥਾਨ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ,இருப்பிடத்தை உறுதிப்படுத்தவும்,స్థానాన్ని నిర్ధారించండి
distanceLessThan,Distance less than ,দূরত্বের চেয়ে কম,दूरी से कम,ಕಡಿಮೆ ದೂರ,ଠାରୁ କମ୍ ଦୂରତା |,দূৰত্ব কম,કરતાં ઓછું અંતર,पेक्षा कमी अंतर,എന്നതിനേക്കാൾ കുറവ്,ਤੋਂ ਘੱਟ ਦੂਰੀ,விட குறைவான தூரம்,కంటే తక్కువ దూరం
km,KM,কিমি,किमी,ಕಿಮೀ,କିଲୋମିଟର,কে.এম,કિ.મી.,किमी,കെഎം,ਕਿਮੀ,கி.மீ.,Km
moreThan,More than,অধিক,इससे अधिक,ಇನ್ನೂ ಹೆಚ್ಚು,ଠାରୁ ଅଧିକ,তাতোকৈ,કરતાં વધુ,पेक्षा जास्त,അതിലും കൂടുതൽ,ਇਸ ਤੋਂ ਵੱਧ,விட,మించి
all,All,সব,सभी,ಎಲ್ಲರೂ,ସମସ୍ତ,আটাইবোৰ,બધા,सर्व,എല്ലാം,ਸਾਰੇ,எல்லாம்,అన్నీ
delivery,Delivery ,বিতরণ,वितरण,ವಿತರಣೆ,ବିତରଣ,বিলি কৰা,ડિલિવરી,वितरण,പസവം,ਡਿਲਿਵਰੀ,டெலிவரி,డెలివరీ
pickUp,Pickup,পিকআপ,उठाना,ಸ್ವಯಂ ತೆಗೆದುಕೊಳ್ಳಲು,ପିକଅପ୍ |,উঠাওক,પીકઅપ,पिकअप,പുരോഗമിക്കുക,ਚੁੱਕਣਾ,இடும்,తీసుకోవడం
previousOrder,Previous Order,পূর্ববর্তী আদেশ,पिछला आदेश,ಹಿಂದಿನ ಕ್ರಮ,ପୂର୍ବ କ୍ରମ,পূৰ্বৰ ক্ৰম,પાછલો ઓર્ડર,मागील ऑर्डर,മുമ്പത്തെ ഓർഡർ,ਪਿਛਲਾ ਆਰਡਰ,முந்தைய ஆர்டர்,మునుపటి ఆర్డర్
frequentlyBought,Frequently Bought,প্রায়শই কেনা,अक्सर खरीदा,ಆಗಾಗ್ಗೆ ಖರೀದಿಸಲಾಗುತ್ತದೆ,ବାରମ୍ବାର କିଣିଛି |,সঘনাই কিনা,વારંવાર,वारंवार विकत घेतलेले,പതിവായി വാങ്ങി,ਅਕਸਰ ਖਰੀਦਿਆ,அடிக்கடி வாங்கப்பட்டது,తరచుగా కొన్నారు
recommended,Recommended,প্রস্তাবিত,अनुशंसित,ಶಿಫಾರಸು ಮಾಡಿದ,ସୁପାରିଶ କରାଯାଇଛି |,পৰামৰ্শিত,ભલામણ કરેલ,शिफारस केली,ശുപാർശ ചെയ്ത,ਸਿਫਾਰਸ਼ ਕੀਤੀ,பரிந்துரைக்கப்படுகிறது,సిఫార్సు చేయబడింది
aboutSeller,About seller ,বিক্রেতা সম্পর্কে,विक्रेता के बारे में,ಮಾರಾಟಗಾರರ ಬಗ್ಗೆ,ବିକ୍ରେତା ବିଷୟରେ,বিক্ৰেতাৰ বিষয়ে,વિક્રેતા વિશે,विक्रेत्याबद्दल,വിൽപ്പനക്കാരനെക്കുറിച്ച്,ਵਿਕਰੇਤਾ ਬਾਰੇ,விற்பனையாளர் பற்றி,విక్రేత గురించి
sellingItems,Selling items,আইটেম বিক্রি,बेचना आइटम,ವಸ್ತುಗಳನ್ನು ಮಾರಾಟ ಮಾಡುವುದು,ଆଇଟମ୍ ବିକ୍ରୟ |,বস্তু বিক্ৰী কৰা,વસ્તુઓ વેચવી,वस्तूंची विक्री,ഇനങ്ങൾ വിൽക്കുന്നു,ਚੀਜ਼ਾਂ ਵੇਚਣਾ,பொருட்களை விற்பனை செய்தல்,వస్తువులను అమ్మడం
menu,Menu ,তালিকা,मेन्यू,ಪಟ್ಟಿ,ମେନୁ,মেনু,યાદી,मेनू,മെനു,ਮੇਨੂ,பட்டியல்,మెను
addToFavorites,Add to favourites,ফেভারিটে যোগ করুন,पसंदीदा में जोड़ो,ಮೆಚ್ಚಿನವುಗಳಿಗೆ ಸೇರಿಸಿ,ପ୍ରିୟମାନଙ୍କୁ ଯୋଡନ୍ତୁ |,প্ৰিয়বোৰত যোগ কৰক,પસંદગીમાં ઉમેરો,आवडींमध्ये जोडा,പ്രിയങ്കരങ്ങളിലേക്ക് ചേർക്കുക,ਮਨਪਸੰਦ ਵਿੱਚ ਸ਼ਾਮਲ ਕਰੋ,விருப்ப பட்டியலில் சேர்,ఇష్టమైన వాటికి జోడించండి
share,Share ,শেয়ার,शेयर करना,ಹಂಚು,ଅଂଶୀଦାର କରନ୍ତୁ |,ভাগ-বতৰা কৰা,હિસ્સો,शेअर,ഭാഗം,ਸਾਂਝਾ ਕਰੋ,பகிர்,వాటా
shopInformation,Shop Information,শপ তথ্য,दुकान की सूचना,ಅಂಗಡಿಗಳ ಮಾಹಿತಿ,ଦୋକାନ ସୂଚନା,দোকানৰ তথ্য,દુકાનની માહિતી,दुकानाची माहिती,ഷോപ്പ് വിവരങ്ങൾ,ਦੁਕਾਨ ਦੀ ਜਾਣਕਾਰੀ,கடை தகவல்,షాప్ సమాచారం
more,More ,আরও,अधिक,ಇನ್ನೂ ಹೆಚ್ಚು,ଅଧିକ,অধিক,વધારે,अधिक,കൂടുതൽ,ਹੋਰ,மேலும்,మరింత
no.of pieces,No.of Pieces,নং টুকরা,सं।,ತುಣುಕುಗಳು,ନଂ,টুকুৰাৰ সংখ্যা,ના ટુકડાઓ,तुकड्यांची संख्या,ഇല്ല. കഷണങ്ങൾ,ਨੰਬਰ,துண்டுகளின் எண்ணிக்கை,లేదు
vegetables,Vegetables ,শাকসবজি,सब्ज़ियाँ,ತರಕಾರಿಗಳು,ପନିପରିବା |,শাক-পাচলি,શાકભાજી,भाज्या,പച്ചക്കറികൾ,ਸਬਜ਼ੀਆਂ,காய்கறிகள்,కూరగాయలు
today,Today,আজ,आज,ಇಂದು,ଆଜି,আজি,આજ,आज,ഇന്നേദിവസം,ਅੱਜ,இன்று,ఈ రోజు
tomorrow,Tomorrow,আগামীকাল,कल,ನಾಳೆ,ଆସନ୍ତାକାଲି,কাইলৈ,આવતી કાલ,उद्या,അടുത്തദിവസം,ਕੱਲ,நாளை,రేపు
addQuantity,Add Quantity ,পরিমাণ যোগ করুন,मात्रा जोड़ें,ಪ್ರಮಾಣವನ್ನು ಸೇರಿಸಿ,ପରିମାଣ ଯୋଗ କରନ୍ତୁ |,পৰিমাণ যোগ কৰক,જથ્થો ઉમેરો,प्रमाण जोडा,അളവ് ചേർക്കുക,ਮਾਤਰਾ ਸ਼ਾਮਲ ਕਰੋ,அளவு சேர்க்கவும்,పరిమాణాన్ని జోడించండి
pieces,Pieces,টুকরা,टुकड़े,ತುಂಡು,ଖଣ୍ଡଗୁଡ଼ିକ,টুকুৰাসমূহ,ટુકડાઓ,तुकडे,കഷണങ്ങൾ,ਟੁਕੜੇ,துண்டுகள்,ముక్కలు
numberOfpieces,Number of pieces,টুকরা সংখ্যা,टुकड़ों की संख्या,ತುಣುಕುಗಳ ಸಂಖ್ಯೆ,ଖଣ୍ଡଗୁଡ଼ିକର ସଂଖ୍ୟା,টুকুৰাৰ সংখ্যা,ટુકડાઓની સંખ્યા,तुकड्यांची संख्या,കഷണങ്ങളുടെ എണ്ണം,ਟੁਕੜੇ ਦੀ ਗਿਣਤੀ,துண்டுகளின் எண்ணிக்கை,ముక్కల సంఖ్య
amount,Amount,পরিমাণ,राशि,ಮೊತ್ತ,ପରିମାଣ,পৰিমাণ,રકમ,रक्कम,സംഖ,ਦੀ ਰਕਮ,தொகை,మొత్తం
viewCart,View Cart,কার্ট দেখুন,गाडी देंखे,ಕಾರ್ಟ್ ವೀಕ್ಷಿಸಿ,କାର୍ଟ ଦେଖନ୍ତୁ |,কাৰ্ট চাওক,જુઓ,कार्ट पहा,സഞ്ചി കാണുക,ਕਾਰਟ ਵੇਖੋ,வண்டியைக் காண்க,కార్ట్ చూడండి
orderSummary,Order Summary,অর্ডার সংক্ষিপ্তসার,आदेश सारांश,ಆದೇಶ ಸಾರಾಂಶ,କ୍ରମ ସାରାଂଶ,অৰ্ডাৰৰ সাৰাংশ,સારાંશ,ऑर्डर सारांश,ഓർഡർ സംഗ്രഹം,ਆਰਡਰ ਸੰਖੇਪ,ஒழுங்கு சுருக்கம்,కొనుగోలు వివరణ
detailedBill,Detailed Bill,বিস্তারিত বিল,विस्तृत बिल,ವಿವರವಾದ ಬಿಲ್,ବିସ୍ତୃତ ବିଲ୍ |,বিশদ বিল,વિગતવાર બીલ,तपशीलवार बिल,വിശദമായ ബിൽ,ਵਿਸਤ੍ਰਿਤ ਬਿੱਲ,விரிவான மசோதா,వివరణాత్మక బిల్లు
cartTotal,Cart Total,কার্ট মোট,कुल गाड़ी,ಕಾರ್ಟ್ ಒಟ್ಟು,କାର୍ଟ ସମୁଦାୟ,কাৰ্ট মুঠ,કાર્ટનનો સરવાળો,एकूण कार्ट,കാർട്ട് ആകെ,ਕਾਰਟ ਕੁੱਲ,வண்டி மொத்தம்,కార్ట్ మొత్తం
discount,Discount,ছাড়,छूट,ರಿಯಾಯಿತಿ,ରିହାତି,ৰেহাই,છૂટ,सूट,കിഴിവ്,ਛੂਟ,தள்ளுபடி,తగ్గింపు
total,Total,মোট,कुल,ಒಟ್ಟು ಮೊತ,ସମୁଦାୟ,মুঠ,કુલ,एकूण,മൊത്തമായ,ਕੁੱਲ,மொத்தம்,మొత్తం
selfPickup,Self Pickup,স্ব পিকআপ,स्व चयन,ಸ್ವಸಹಾಯ,ସେଲ୍ପ୍ ପିକଅପ୍ |,self pickup,જાતે પિકઅપ,सेल्फ पिकअप,സ്വയം പിക്കപ്പ്,ਸਵੈ ਪਿਕਅਪ,சுய இடும்,తనకు తాను తీసుకోవడం
totalPayable,Total Payable,মোট প্রদেয়,कुल देय,ಪಾವತಿಸಬೇಕಾದ ಒಟ್ಟು,ସମୁଦାୟ ଦେୟଯୋଗ୍ୟ |,মুঠ প্ৰদানযোগ্য,ચૂકવવાપાત્ર,एकूण देय,ആകെ നൽകേണ്ടതാണ്,ਕੁੱਲ ਭੁਗਤਾਨ ਯੋਗ,மொத்தம் செலுத்த வேண்டும்,చెల్లించవలసిన మొత్తం
payAtPickup,Pay at Pickup,পিকআপে অর্থ প্রদান করুন,पिकअप पर भुगतान करें,ಪಿಕಪ್ನಲ್ಲಿ ಪಾವತಿಸಿ,ପିକଅପ୍ ରେ ଦେୟ ଦିଅ |,পিকআপত ধন দিব লাগে,પિકઅપ પર પગાર,पिकअपवर पैसे द्या,പിക്കപ്പിൽ പണമടയ്ക്കുക,ਪਿਕਅਪ ਵਿਖੇ ਭੁਗਤਾਨ ਕਰੋ,இடும் இடத்தில் செலுத்துங்கள்,పికప్ వద్ద చెల్లించండి
savedDetails,Saved Details,সংরক্ষণ বিশদ,बचाए गए विवरण,ಉಳಿಸಿದ ವಿವರಗಳು,ସବିଶେଷ ବିବରଣୀ ସଞ୍ଚୟ ହୋଇଛି |,সংৰক্ষণ কৰা বিৱৰণসমূহ,સાચવેલ વિગતો,जतन केलेले तपशील,സംരക്ഷിച്ച വിശദാംശങ്ങൾ,ਸੁਰੱਖਿਅਤ ਕੀਤੇ ਵੇਰਵੇ,சேமித்த விவரங்கள்,సేవ్ చేసిన వివరాలు
debitAtmCard,Debit/ATM Card,ডেবিট/এটিএম কার্ড,डेबिट/एटीएम कार्ड,ಜಮಾ/ಖರ್ಚು,ଡେବିଟ୍ / ଏଟିଏମ୍ କାର୍ଡ |,ডেবিট/এটিএম কাৰ্ড,ડેબિટ/એટીએમ કાર્ડ,डेबिट/एटीएम कार्ड,ഡെബിറ്റ് / എടിഎം കാർഡ്,ਡੈਬਿਟ / ਏਟੀਐਮ ਕਾਰਡ,டெபிட்/ஏடிஎம் அட்டை,డెబిట్/ఎటిఎమ్ కార్డు
netBanking,Net Banking,নেট ব্যাংকিং,"
नेट बैंकिंग",ನೆಟ್ ಬ್ಯಾಂಕಿಂಗ್,ନିଟ୍ ବ୍ୟାଙ୍କିଙ୍ଗ୍ |,নেট বেংকিং,નેટ બેંકિંગ,नेट बँकिंग,നെറ്റ് ബാങ്കിംഗ്,ਨੈੱਟ ਬੈਂਕਿੰਗ,நிகர வங்கி,నెట్ బ్యాంకింగ్
addDebitCreditCard,Add Debit/Credit Card,ডেবিট/ক্রেডিট কার্ড যুক্ত করুন,डेबिट/क्रेडिट कार्ड जोड़ें,ಜಮಾ/ಖರ್ಚು ಕಾರ್ಡ್ ಸೇರಿಸು,ଡେବିଟ୍ / କ୍ରେଡିଟ୍ କାର୍ଡ ଯୋଡନ୍ତୁ |,ডেবিট/ক্ৰেডিট কাৰ্ড যোগ কৰক,ડેબિટ/ક્રેડિટ કાર્ડ ઉમેરો,डेबिट/क्रेडिट कार्ड जोडा,ഡെബിറ്റ് / ക്രെഡിറ്റ് കാർഡ് ചേർക്കുക,ਡੈਬਿਟ / ਕ੍ਰੈਡਿਟ ਕਾਰਡ ਸ਼ਾਮਲ ਕਰੋ,டெபிட்/கிரெடிட் கார்டைச் சேர்க்கவும்,డెబిట్/క్రెడిట్ కార్డును జోడించండి
walletsUpi,Wallets & UPI,ওয়ালেট এবং আপি,बटुए और यूपीआई,ಕೈಚೀಲಗಳು ಮತ್ತು ಯುಪಿಐ,ୱାଲେଟ୍ ଏବଂ ୟୁଇ,ৱালেট আৰু ইউপিআই,વોલેટ્‌સ તથા યુપીઆઇ,वॉलेट्स आणि यूपीआय,വാലറ്റുകൾ & യുപിഐ,ਵਾਲਲੇਟਸ ਅਤੇ ਯੂਪੀਆਈ,பணப்பைகள் & யுபிஐ,వాలెట్లు & యుపిఐ
phonepe,PhonePe,ফোনপ,फोनपे,ಫನ್‌ಪೆ,ଫୋନ୍ଦେ,phonepe,ફોન પે,फोनपे,ഫോഗ്പെ,ਫੋਨਪ,ஃபோன்ப்,ఫోన్‌పే
paytm,Paytm,পেটিএম,पेटीएम,ಪೇಟಿಎಂ,ପେଟି,পেটিএম,પેટીએમ,पेटीएम,പെഡ്ം,ਪੇਟੀਐਮ,Paytm,Paytm
otherUpi,Other UPI,অন্যান্য আপি,अन्य यूपीआई,ಇತರ ಯುಪಿಐ,ଅନ୍ୟ ଉତ୍ତୋଳୁଛି,অন্যান্য ইউপিআই,અન્ય યુપીઆઇ,इतर यूपीआय,മറ്റ് യുപി,ਹੋਰ ਯੂਪੀਆਈ,பிற யுபிஐ,ఇతర యుపిఐ
paySecurely,Pay Securely,নিরাপদে অর্থ প্রদান করুন,सुरक्षित रूप से भुगतान करें,ಸುರಕ್ಷಿತವಾಗಿ ಪಾವತಿಸಿ,ସୁରକ୍ଷିତ ଭାବରେ ଦେୟ ଦିଅ |,সুৰক্ষিতভাৱে পৰিশোধ কৰক,સુરક્ષિત ચૂકવણી,सुरक्षितपणे पैसे द्या,സുരക്ഷിതമായി പണമടയ്ക്കുക,ਸੁਰੱਖਿਅਤ ਭੁਗਤਾਨ ਕਰੋ,பாதுகாப்பாக செலுத்துங்கள்,సురక్షితంగా చెల్లించండి
deliverAt,Deliver at,বিতরণ,पर वितरित करें,ತಳುಪಿಸಬೇಕಾದ ಸ್ಥಳ,ରେ ବିତରଣ କରନ୍ତୁ |,ডেলিভাৰী এট,નાથી પહોંચાડવું,येथे वितरित करा,കൈമാറുക,'ਤੇ ਸਪੁਰਦ ਕਰੋ,வழங்கவும்,వద్ద అప్పగించు
noContact,No Contact,কোনো যোগাযোগ নেই,कोई संपर्क नहीं,ಸಂಪರ್ಕವಿಲ್ಲ,କ contaction ଣସି ସମ୍ପର୍କ ନାହିଁ,কোনো যোগাযোগ নাই,કોઈ સંપર્ક નથી,संपर्क नाही,കോൺടാക്റ്റ് ഇല്ല,ਕੋਈ ਸੰਪਰਕ ਨਹੀਂ,தொடர்பு இல்லை,పరిచయం లేదు
